alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
24.75,1.3195,0.16891,0.16618,-0.0264,0.04,1,-5.6446,0,0.2101
25,1.3208,0.17168,0.16898,-0.0285,0.0391,1,-5.7137,0,0.2108
25.25,1.2663,0.18482,0.18232,-0.0356,0.0386,1,-5.4316,0,0.217
25.5,1.2699,0.18743,0.18492,-0.0375,0.037,1,-5.5107,0,0.2176
25.75,1.2723,0.1903,0.18775,-0.0396,0.0349,1,-5.5818,0,0.2183
26,1.2727,0.19357,0.19098,-0.0418,0.0325,1,-5.64,0,0.2192
26.25,1.2715,0.19722,0.1946,-0.0443,0.0293,1,-5.6853,0,0.2203
26.75,1.2162,0.21667,0.21427,-0.0543,0.0249,1,-5.3925,0,0.2292
27,1.2222,0.21905,0.21667,-0.056,0.0248,1,-5.4846,0,0.2296
27.25,1.2283,0.22138,0.21903,-0.0578,0.0248,1,-5.5784,0,0.2298
27.5,1.2344,0.22371,0.22138,-0.0596,0.0246,1,-5.6732,0,0.2301
27.75,1.2405,0.22604,0.22374,-0.0614,0.0244,1,-5.7681,0,0.2304
28,1.2463,0.22843,0.22615,-0.0632,0.0241,1,-5.8625,0,0.2306
28.25,1.2515,0.23094,0.22868,-0.0651,0.0236,1,-5.9527,0,0.231
28.5,1.2556,0.23369,0.23143,-0.0671,0.0227,1,-6.0354,0,0.2314
28.75,1.2575,0.23701,0.23473,-0.0693,0.0214,1,-6.1002,0,0.2322
29,1.1954,0.25755,0.25544,-0.0775,0.0197,1,-5.6355,0,0.2423
29.25,1.1934,0.26222,0.26005,-0.0801,0.017,1,-5.6569,0,0.2437
29.5,1.1944,0.26606,0.26389,-0.0823,0.0144,1,-5.6942,0,0.2446
29.75,1.1973,0.26935,0.26723,-0.0843,0.0134,1,-5.7505,0,0.2451
