alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
-3.5,-0.0944,0.00793,0.00239,-0.0649,0.7517,0.0868,-1.3612,0,-0.4659
-3.25,-0.0681,0.00765,0.00225,-0.0647,0.7497,0.1198,-1.2364,0,-0.7363
-3,-0.0406,0.00747,0.00214,-0.0647,0.7476,0.1406,-1.1119,0,-1.3972
-2.75,-0.0157,0.00708,0.00196,-0.0644,0.7453,0.1889,-0.9974,0,-3.9921
-2.5,0.01,0.00676,0.00183,-0.0642,0.7428,0.2422,-0.8833,0,6.8216
-2.25,0.0358,0.00646,0.0017,-0.064,0.739,0.2998,-0.7947,0,2.0782
-2,0.0613,0.00612,0.00159,-0.0637,0.7341,0.3739,-0.7124,0,1.3108
-1.75,0.0833,0.00538,0.00137,-0.0629,0.7322,0.5252,-0.6373,0,1.0188
-1.5,0.1104,0.00514,0.00135,-0.0628,0.7298,0.5932,-0.5707,0,0.827
-1.25,0.14,0.00511,0.00134,-0.0631,0.7267,0.6068,-0.556,0,0.7055
-1,0.1693,0.00508,0.00132,-0.0633,0.7217,0.6182,-0.568,0,0.6268
-0.75,0.1985,0.0051,0.00131,-0.0636,0.7155,0.6273,-0.58,0,0.5712
-0.5,0.2281,0.00516,0.00132,-0.0639,0.7087,0.6334,-0.5919,0,0.5299
-0.25,0.2576,0.00511,0.00132,-0.0641,0.7045,0.6425,-0.6082,0,0.498
0,0.2873,0.00511,0.00133,-0.0645,0.6993,0.6484,-0.6314,0,0.4726
0.25,0.317,0.00513,0.00135,-0.0648,0.6954,0.6536,-0.6597,0,0.452
0.5,0.3467,0.00518,0.00137,-0.0651,0.6909,0.6568,-0.6976,0,0.4349
0.75,0.3761,0.00524,0.00139,-0.0654,0.6853,0.6588,-0.7355,0,0.4206
1,0.4058,0.00523,0.00141,-0.0658,0.6819,0.6649,-0.7741,0,0.4083
1.25,0.4352,0.00523,0.00143,-0.0661,0.6733,0.6699,-0.8216,0,0.3976
1.5,0.4635,0.00532,0.00146,-0.0661,0.659,0.6741,-0.876,0,0.3881
1.75,0.4931,0.00539,0.00152,-0.0664,0.6503,0.68,-0.9325,0,0.3798
2,0.5216,0.00554,0.0016,-0.0665,0.6363,0.6834,-0.9887,0,0.3723
2.25,0.5503,0.00556,0.00162,-0.0667,0.6224,0.6893,-1.0456,0,0.3657
2.5,0.5764,0.00578,0.00171,-0.0665,0.587,0.6927,-1.1006,0,0.3595
2.75,0.6005,0.00616,0.00186,-0.0659,0.5335,0.6945,-1.1573,0,0.3536
3,0.6235,0.00662,0.00208,-0.0652,0.4698,0.6961,-1.2173,0,0.3481
3.25,0.6478,0.00699,0.00227,-0.0647,0.4274,0.6977,-1.2795,0,0.3431
3.5,0.6725,0.00733,0.00245,-0.0643,0.3891,0.6992,-1.343,0,0.3386
3.75,0.6959,0.00775,0.00269,-0.0637,0.3457,0.7006,-1.4054,0,0.3342
4,0.719,0.00817,0.00291,-0.0631,0.3044,0.7023,-1.4682,0,0.3301
4.25,0.7438,0.00847,0.0031,-0.0627,0.2823,0.704,-1.5341,0,0.3264
4.5,0.7678,0.00882,0.00331,-0.0622,0.2508,0.7055,-1.5995,0,0.3228
4.75,0.7923,0.00912,0.00351,-0.0618,0.2329,0.7067,-1.6664,0,0.3194
5,0.8158,0.00947,0.00372,-0.0612,0.205,0.7077,-1.7327,0,0.3162
5.25,0.8403,0.00975,0.00393,-0.0608,0.1911,0.7084,-1.801,0,0.3132
5.5,0.862,0.01016,0.0042,-0.0599,0.1728,0.7103,-1.866,0,0.3101
5.75,0.8847,0.01048,0.00446,-0.0592,0.1601,0.7134,-1.9323,0,0.3073
6,0.909,0.01071,0.00466,-0.0588,0.15,0.7164,-2.0024,0,0.3047
6.25,0.9322,0.01095,0.00488,-0.0581,0.1424,0.719,-2.0717,0,0.302
6.5,0.9518,0.01126,0.00513,-0.0568,0.1315,0.7213,-2.1364,0,0.2991
6.75,0.9743,0.01149,0.00535,-0.0561,0.1252,0.7235,-2.2058,0,0.2966
7,0.9969,0.01177,0.00561,-0.0554,0.119,0.7257,-2.2762,0,0.2943
7.25,1.0166,0.01223,0.00598,-0.0543,0.1056,0.7277,-2.3613,0,0.2918
7.5,1.0391,0.01255,0.00628,-0.0536,0.0989,0.7296,-2.4641,0,0.2897
7.75,1.0611,0.01291,0.0066,-0.053,0.0939,0.7314,-2.5672,0,0.2876
8,1.0819,0.01334,0.00697,-0.0521,0.0882,0.7329,-2.6686,0,0.2855
8.25,1.1023,0.0138,0.00738,-0.0512,0.0801,0.734,-2.7692,0,0.2834
8.5,1.1232,0.01422,0.00787,-0.0504,0.0761,0.7382,-2.8739,0,0.2815
8.75,1.1468,0.01447,0.00814,-0.0501,0.0759,0.742,-2.9877,0,0.2799
9,1.1694,0.01476,0.00846,-0.0496,0.0757,0.7452,-3.1002,0,0.2783
9.25,1.1915,0.01509,0.00881,-0.049,0.0755,0.7482,-3.2124,0,0.2766
9.5,1.2137,0.01542,0.00916,-0.0485,0.0751,0.7511,-3.3259,0,0.2751
9.75,1.2358,0.01577,0.00953,-0.0479,0.0746,0.7538,-3.4406,0,0.2735
10,1.2574,0.01616,0.00993,-0.0474,0.0739,0.7561,-3.5553,0,0.272
10.25,1.2784,0.01658,0.01037,-0.0467,0.0729,0.758,-3.6696,0,0.2705
10.5,1.2992,0.01703,0.01082,-0.0461,0.0714,0.7594,-3.7848,0,0.269
10.75,1.3195,0.01749,0.0113,-0.0455,0.0693,0.7648,-3.9,0,0.2676
11,1.3388,0.01802,0.01184,-0.0447,0.0668,0.7699,-4.0135,0,0.2661
11.25,1.3569,0.01863,0.01245,-0.0438,0.0641,0.7741,-4.1248,0,0.2646
11.5,1.3751,0.01924,0.01307,-0.0429,0.0611,0.7778,-4.2362,0,0.2631
11.75,1.3932,0.01984,0.01368,-0.042,0.0578,0.7812,-4.3484,0,0.2616
12,1.4102,0.02052,0.01438,-0.0411,0.0549,0.784,-4.4583,0,0.2601
12.5,1.4431,0.02198,0.01596,-0.0391,0.0507,0.7945,-4.676,0,0.2571
12.75,1.4631,0.02248,0.01649,-0.0386,0.0506,0.7993,-4.8009,0,0.2559
13,1.482,0.02307,0.01711,-0.038,0.0504,0.8037,-4.9465,0,0.2547
13.25,1.5002,0.0237,0.01776,-0.0374,0.05,0.8072,-5.0916,0,0.2535
13.5,1.5183,0.02435,0.01843,-0.0367,0.0494,0.8097,-5.2375,0,0.2523
13.75,1.5357,0.02504,0.01914,-0.036,0.0481,0.8152,-5.3822,0,0.2511
14,1.55,0.02594,0.02005,-0.0351,0.0456,0.8208,-5.5166,0,0.2498
14.25,1.5601,0.02715,0.02121,-0.0337,0.0418,0.8258,-5.6377,0,0.2483
14.5,1.5713,0.02826,0.0223,-0.0325,0.0378,0.8305,-5.7622,0,0.2468
14.75,1.5842,0.02929,0.02333,-0.0315,0.0363,0.8343,-5.8946,0,0.2455
15,1.5945,0.03055,0.02459,-0.0304,0.0344,0.8402,-6.018,0,0.2441
15.25,1.6039,0.0319,0.02594,-0.0292,0.0321,0.8472,-6.1376,0,0.2428
15.5,1.6096,0.0336,0.02765,-0.0278,0.0274,0.8534,-6.2331,0,0.2412
15.75,1.6157,0.03534,0.02948,-0.0265,0.026,0.8591,-6.3302,0,0.2398
16,1.6237,0.03691,0.03117,-0.0254,0.0254,0.8683,-6.4389,0,0.2385
16.25,1.6342,0.0383,0.03264,-0.0247,0.0254,0.8789,-6.5658,0,0.2374
16.5,1.6439,0.03975,0.03419,-0.0239,0.0254,0.8923,-6.6916,0,0.2362
16.75,1.6542,0.04107,0.03563,-0.0231,0.0254,0.9179,-6.8204,0,0.2351
17.25,1.6732,0.04427,0.03906,-0.0223,0.0253,1.0127,-7.0718,0,0.2332
17.5,1.6825,0.04591,0.04075,-0.0217,0.0253,1.0127,-7.1982,0,0.2323
17.75,1.6906,0.04771,0.0426,-0.0213,0.0253,1.0127,-7.3203,0,0.2313
18,1.6971,0.04972,0.04467,-0.0209,0.0253,1.0127,-7.4361,0,0.2304
18.25,1.7049,0.0516,0.0466,-0.0205,0.0252,1.0127,-7.5578,0,0.2295
18.5,1.7101,0.05382,0.04888,-0.0202,0.0252,1.0127,-7.6688,0,0.2287
18.75,1.7155,0.05603,0.05115,-0.02,0.0252,1.0127,-7.7807,0,0.2278
19,1.7211,0.05824,0.05341,-0.0198,0.0252,1.0127,-7.8938,0,0.2271
19.25,1.7227,0.06097,0.05622,-0.0198,0.0251,1.0127,-7.9892,0,0.2263
19.5,1.7261,0.06347,0.05877,-0.0197,0.0251,1.0127,-8.0926,0,0.2256
19.75,1.7246,0.06662,0.06201,-0.0199,0.0251,1.0127,-8.1729,0,0.225
20,1.7233,0.06985,0.06531,-0.0201,0.025,1.0127,-8.2529,0,0.2245
20.25,1.7213,0.0732,0.06874,-0.0205,0.025,1.0127,-8.3296,0,0.224
20.5,1.7253,0.07575,0.07134,-0.0208,0.0249,1.0127,-8.4352,0,0.2235
20.75,1.7288,0.07837,0.07402,-0.0211,0.0249,1.0127,-8.5383,0,0.2229
21,1.7243,0.08218,0.07793,-0.0219,0.0248,1.0127,-8.6004,0,0.2227
21.25,1.7191,0.08617,0.08199,-0.0228,0.0248,1.0127,-8.6569,0,0.2225
21.5,1.72,0.08922,0.0851,-0.0235,0.0247,1.0127,-8.7453,0,0.2222
21.75,1.7185,0.09263,0.08861,-0.0244,0.0246,1.0127,-8.8197,0,0.222
22,1.7034,0.09817,0.09427,-0.0262,0.0246,1.0127,-8.8178,0,0.2224
22.25,1.7015,0.10161,0.09777,-0.0272,0.0245,1.0127,-8.8882,0,0.2222
22.5,1.6844,0.10758,0.10387,-0.0294,0.0244,1.0127,-8.869,0,0.2229
22.75,1.6782,0.11186,0.10823,-0.031,0.0243,1.0127,-8.9097,0,0.2232
23,1.6746,0.11568,0.11212,-0.0325,0.0242,1.0127,-8.965,0,0.2234
23.25,1.6499,0.12314,0.11972,-0.0359,0.0241,1.0127,-8.8877,0,0.2249
23.5,1.6446,0.12734,0.12399,-0.0379,0.0239,1.0127,-8.9263,0,0.2254
23.75,1.6383,0.13173,0.12845,-0.04,0.0237,1.0127,-8.9562,0,0.226
24,1.6065,0.14066,0.13754,-0.0448,0.0236,1.0127,-8.8142,0,0.2286
24.25,1.6026,0.14463,0.14156,-0.047,0.0233,1.0127,-8.8532,0,0.2292
24.5,1.5949,0.1493,0.14631,-0.0496,0.023,1.0127,-8.8631,0,0.2302
24.75,1.5596,0.15923,0.1564,-0.0556,0.0228,1.0127,-8.6699,0,0.2339
25,1.5571,0.16317,0.16038,-0.0581,0.0223,1.0127,-8.7066,0,0.2347
25.25,1.5537,0.1673,0.16455,-0.0608,0.0217,1.0127,-8.7333,0,0.2356
25.5,1.5357,0.17441,0.17176,-0.0654,0.0211,1.0127,-8.6409,0,0.2383
25.75,1.5205,0.1811,0.17851,-0.07,0.0203,1.0127,-8.5605,0,0.2409
26,1.4903,0.19106,0.18857,-0.0768,0.0192,1.0127,-8.3415,0,0.2456
26.25,1.4422,0.20543,0.20309,-0.0869,0.0175,1.0127,-7.9222,0,0.2536
26.5,1.3921,0.2213,0.21917,-0.0981,0.0159,1.0127,-7.4057,0,0.2633
27,1.3342,0.24437,0.24258,-0.1157,0.0152,1.0127,-6.6911,0,0.2784
28,1.1748,0.32989,0.32863,-0.1684,0.0153,1.0127,-3.033,0,0.338
28.25,1.183,0.33148,0.33023,-0.1705,0.015,1.0127,-3.1403,0,0.3378
28.5,1.191,0.33311,0.33186,-0.1726,0.0147,1.0127,-3.2471,0,0.3375
28.75,1.199,0.33472,0.33348,-0.1747,0.0145,1.0127,-3.3552,0,0.3373
29,1.2068,0.33632,0.33508,-0.1768,0.0142,1.0127,-3.4646,0,0.3371
29.25,1.2144,0.33793,0.3367,-0.179,0.0139,1.0127,-3.5735,0,0.3369
