alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
19,1.7895,0.05076,0.04593,-0.0216,0.0249,1.0127,-8.2486,0,0.2278
19.25,1.797,0.05265,0.04787,-0.0212,0.0248,1.0127,-8.3755,0,0.2269
19.5,1.8012,0.05495,0.05022,-0.021,0.0248,1.0127,-8.4878,0,0.2261
19.75,1.8078,0.05698,0.05231,-0.0207,0.0247,1.0127,-8.6112,0,0.2253
20,1.8105,0.05952,0.05491,-0.0206,0.0246,1.0127,-8.7163,0,0.2245
20.25,1.8138,0.06199,0.05743,-0.0205,0.0245,1.0127,-8.8245,0,0.2237
20.5,1.8137,0.06486,0.06038,-0.0206,0.0245,1.0127,-8.916,0,0.223
20.75,1.8139,0.06775,0.06333,-0.0207,0.0244,1.0127,-9.0086,0,0.2224
21,1.8069,0.07167,0.06736,-0.0211,0.0243,1.0127,-9.0644,0,0.2219
21.25,1.8098,0.0743,0.07004,-0.0213,0.0241,1.0127,-9.1693,0,0.2213
21.5,1.8139,0.07674,0.07254,-0.0215,0.024,1.0127,-9.2803,0,0.2207
21.75,1.8167,0.07936,0.07522,-0.0219,0.0238,1.0127,-9.3849,0,0.2201
22,1.8044,0.08423,0.08018,-0.0229,0.0236,1.0127,-9.4087,0,0.22
22.25,1.8035,0.08747,0.08348,-0.0236,0.0234,1.0127,-9.4912,0,0.2196
22.5,1.8032,0.09057,0.08664,-0.0243,0.0231,1.0127,-9.5769,0,0.2193
22.75,1.7858,0.09628,0.09247,-0.026,0.0229,1.0127,-9.5664,0,0.2196
23,1.7807,0.10007,0.09632,-0.0271,0.0226,1.0127,-9.6223,0,0.2194
23.25,1.7762,0.10378,0.10009,-0.0282,0.0222,1.0127,-9.6803,0,0.2193
23.5,1.7513,0.11087,0.10731,-0.031,0.0219,1.0127,-9.6152,0,0.2203
23.75,1.745,0.11497,0.11147,-0.0326,0.0214,1.0127,-9.6571,0,0.2204
24,1.7343,0.11983,0.11639,-0.0346,0.0208,1.0127,-9.6695,0,0.2209
24.25,1.7045,0.12796,0.12466,-0.0385,0.0205,1.0127,-9.5565,0,0.2227
24.5,1.6917,0.13326,0.13003,-0.0411,0.0198,1.0127,-9.5454,0,0.2235
24.75,1.6526,0.14321,0.14014,-0.0465,0.0194,1.0127,-9.3524,0,0.2265
25,1.6371,0.14903,0.146,-0.0497,0.0182,1.0127,-9.3057,0,0.2279
25.25,1.5108,0.1759,0.17336,-0.066,0.0134,1.0127,-8.2977,0,0.2403
25.5,1.4763,0.18667,0.1843,-0.0732,0.0133,1.0127,-8.0408,0,0.2454
27,1.2173,0.28098,0.27979,-0.1405,0.0142,1.0127,-4.8065,0,0.3097
