alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
13.25,1.6668,0.01255,0.00818,-0.0055,0.1253,1,-4.0731,0,0.227
13.5,1.6783,0.01303,0.00863,-0.0033,0.1172,1,-4.1591,0,0.2251
13.75,1.6931,0.01341,0.00902,-0.0016,0.112,1,-4.2534,0,0.2235
14,1.7104,0.01374,0.00936,-0.0004,0.1111,1,-4.3543,0,0.2222
14.25,1.7267,0.01411,0.00975,0.0008,0.1105,1,-4.4674,0,0.2209
14.5,1.7425,0.01452,0.01018,0.0021,0.1095,1,-4.5857,0,0.2196
14.75,1.7563,0.01505,0.01072,0.0035,0.1072,1,-4.6983,0,0.2183
15,1.7632,0.01589,0.01153,0.0057,0.1028,1,-4.7927,0,0.2164
15.25,1.7691,0.01688,0.01248,0.0079,0.0977,1,-4.8847,0,0.2146
15.5,1.7777,0.01779,0.01338,0.0095,0.0921,1,-4.9847,0,0.2131
15.75,1.7882,0.01864,0.01423,0.0108,0.0859,1,-5.0913,0,0.2118
16,1.8005,0.01943,0.01504,0.0118,0.0839,1,-5.204,0,0.2106
16.25,1.8115,0.02032,0.01595,0.0129,0.0823,1,-5.3136,0,0.2095
16.5,1.8123,0.02187,0.01748,0.0146,0.0784,1,-5.3921,0,0.2079
16.75,1.8078,0.0238,0.0194,0.0165,0.0738,1,-5.4536,0,0.2061
17,1.8081,0.02559,0.02119,0.0178,0.0695,1,-5.5299,0,0.2047
17.25,1.8107,0.02736,0.02297,0.0186,0.0648,1,-5.6131,0,0.2036
17.5,1.8148,0.02908,0.02473,0.0192,0.0608,1,-5.7016,0,0.2025
17.75,1.8212,0.03068,0.02636,0.0196,0.0602,1,-5.7978,0,0.2017
18,1.8238,0.03266,0.02839,0.02,0.0594,1,-5.8817,0,0.2008
18.25,1.8234,0.03494,0.0307,0.0204,0.058,1,-5.9717,0,0.1998
18.5,1.8133,0.03823,0.03404,0.0206,0.056,1,-6.0238,0,0.1988
18.75,1.7985,0.04201,0.03786,0.0207,0.0538,1,-6.0563,0,0.1979
19,1.7858,0.04553,0.04142,0.0208,0.0514,1,-6.096,0,0.1969
19.25,1.7672,0.05006,0.04602,0.0204,0.0494,1,-6.1098,0,0.1962
19.5,1.7473,0.05496,0.05099,0.0197,0.0475,1,-6.1161,0,0.1957
19.75,1.7381,0.05859,0.05467,0.0191,0.0447,1,-6.1665,0,0.1951
20,1.7164,0.06389,0.06007,0.018,0.0429,1,-6.1621,0,0.1948
20.25,1.6908,0.06975,0.06603,0.0166,0.0416,1,-6.1382,0,0.1946
20.5,1.6832,0.07334,0.06968,0.0157,0.0408,1,-6.1917,0,0.1943
21,1.6424,0.08364,0.08016,0.0129,0.0403,1,-6.1816,0,0.1942
21.25,1.6036,0.09111,0.08777,0.0107,0.0402,1,-6.0896,0,0.1945
21.5,1.5938,0.09511,0.09182,0.0093,0.0398,1,-6.1273,0,0.1945
21.75,1.5493,0.10396,0.10082,0.0063,0.0397,1,-5.9997,0,0.1955
22,1.5418,0.1078,0.10469,0.0047,0.0389,1,-6.0443,0,0.1957
22.25,1.4845,0.11874,0.11582,0.0004,0.0391,1,-5.8435,0,0.1977
22.5,1.4794,0.12228,0.11937,-0.0013,0.0378,1,-5.8948,0,0.198
22.75,1.4727,0.12605,0.12314,-0.0032,0.036,1,-5.9368,0,0.1984
23,1.4091,0.13829,0.1356,-0.0088,0.0365,1,-5.6825,0,0.2018
