Rank,City proper/metropolitan area,Country/region,UNSD sub‑region[4],Official est. GDP up to date (billion US$),Brookings[7] 2014 est. PPP-adjusted GDP (billion US$),Metropolitan population,Official est. GDP per capita
300+,Springfield,United States,North America,30.271 (2021)[19],32.817,"695,305 (2021)[20]",43534.85
300+,Greater Sudbury,Canada,North America,7.644 (2019)[10],,"171,968 (2019)[11]",44426.87
245,Syracuse,United States,North America,46.414 (2021)[19],40.576,"658,281 (2021)[20]",70501.81
64,Tampa,United States,North America,190.708 (2021)[20],130.314,"3,219,514 (2021)[20]",59235.65
300+,Thunder Bay,Canada,North America,4.94 (2019)[10],,"126,526 (2019)[11]",39043.36
298,Toledo,United States,North America,40.546 (2021)[19],,"644,217 (2021)[20]",62944.63
23,Toronto,Canada,North America,452.492 (2021)[5],276.313,"6,547,381 (2021)[11]",69110.08
300+,Trois-Rivières,Canada,North America,5.142 (2019)[10],,"160,902 (2019)[11]",31944.91
232,Tucson,United States,North America,50.231 (2021)[19],41.216,"1,052,030 (2021)[20]",47745.79
205,Tulsa,United States,North America,60.392 (2021)[19],48.595,"1,023,988 (2021)[20]",58975.3
102,Vancouver,Canada,North America,123.211 (2019)[10],,"2,709,277 (2019)[11]",45477.08
300+,"Victoria, British Columbia",Canada,North America,17.153 (2019)[10],,"403,466 (2019)[11]",42506.68
121,Virginia Beach,United States,North America,107.067 (2021)[19],92.109,"1,803,328 (2021)[20]",59373.56
13,"Washington, D.C.",United States,North America,607.628 (2021)[19],442.212,"6,356,434 (2021)[20]",95592.91
300+,Wichita,United States,North America,40.586 (2021)[19],,"647,919 (2021)[20]",62646.72
300+,"Windsor, Ontario",Canada,North America,12.33 (2019)[10],,"352,538 (2019)[11]",34974.95
300+,Winnipeg,Canada,North America,34.897 (2019)[10],,"844,331 (2019)[11]",41334.5
220,Worcester,United States,North America,54.941 (2021)[19],44.733,"978,447 (2021)[20]",56150.21
