alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
22.75,1.3747,0.13931,0.13642,-0.0079,0.0462,1,-5.4371,0,0.2021
23,1.3754,0.14207,0.13919,-0.0096,0.0425,1,-5.509,0,0.2025
23.25,1.3784,0.1445,0.14165,-0.0111,0.0408,1,-5.5927,0,0.2028
23.5,1.3816,0.1469,0.14408,-0.0126,0.0405,1,-5.6776,0,0.2031
23.75,1.3214,0.15815,0.15552,-0.0192,0.0404,1,-5.408,0,0.2079
24,1.3266,0.16008,0.15748,-0.0208,0.0399,1,-5.4997,0,0.2082
24.25,1.3315,0.16209,0.1595,-0.0224,0.039,1,-5.5906,0,0.2085
24.5,1.3353,0.1643,0.1617,-0.0242,0.0376,1,-5.6755,0,0.209
24.75,1.337,0.16687,0.16425,-0.0261,0.0356,1,-5.7487,0,0.2096
25,1.3354,0.17004,0.1674,-0.0284,0.0335,1,-5.8013,0,0.2104
25.25,1.2727,0.18446,0.18202,-0.0362,0.0328,1,-5.4704,0,0.2173
25.5,1.2743,0.18745,0.18498,-0.0383,0.0301,1,-5.536,0,0.2181
25.75,1.2776,0.19015,0.18768,-0.0403,0.027,1,-5.612,0,0.2187
26,1.2819,0.19266,0.19019,-0.0422,0.0249,1,-5.6948,0,0.2192
26.25,1.2888,0.19469,0.19224,-0.0438,0.0248,1,-5.7962,0,0.2194
26.5,1.2954,0.19677,0.19435,-0.0455,0.0247,1,-5.8966,0,0.2196
26.75,1.3014,0.19897,0.19657,-0.0473,0.0246,1,-5.9938,0,0.2199
27,1.3058,0.20148,0.19911,-0.0492,0.0243,1,-6.0808,0,0.2203
27.25,1.2439,0.21876,0.21661,-0.0575,0.0242,1,-5.6922,0,0.2289
27.5,1.2495,0.2212,0.21906,-0.0594,0.0238,1,-5.7836,0,0.2292
27.75,1.2547,0.22371,0.22158,-0.0613,0.0231,1,-5.8731,0,0.2296
28,1.2591,0.22641,0.22426,-0.0632,0.022,1,-5.9584,0,0.23
28.25,1.2617,0.2295,0.22733,-0.0654,0.0204,1,-6.0304,0,0.2307
28.5,1.2617,0.23325,0.23102,-0.0678,0.0184,1,-6.081,0,0.2317
29.75,1.2119,0.26635,0.26438,-0.0843,0.0129,1,-5.8919,0,0.244
30,1.2169,0.26894,0.26698,-0.0862,0.0128,1,-5.9816,0,0.2442
