city-city,dist,label,sum_gdp
Dortmund-Toulouse,987.6074471579657,Dor-Tou-dir,227.4
Dortmund-Bordeaux,952.4075107159646,Dor-Bor-dir,227.4
Dortmund-Bucharest,1593.4435255378985,Dor-Buc-dir,227.4
Dortmund-Malmö,583.0762804200181,Dor-Mal-dir,222.4
Dortmund-Nantes,812.5957483994545,Dor-Nan-dir,219.5
Dortmund-The Hague,227.7051444241162,Dor-The-dir,218.3
Dortmund-Bremen,195.51065917377426,Dor-Bre-dir,217.5
Dortmund-Bonn,93.70956932562359,Dor-Bon-dir,212.0
Dortmund-Dresden,442.5729058112658,Dor-Dre-dir,211.4
Dortmund-Bologna,833.4454926313821,Dor-Bol-dir,210.5
Dortmund-London,525.0755323377658,Dor-Lon-dir,970.1
Dortmund-Valencia,1471.6089619343902,Dor-Val-dir,227.5
Dortmund-Naples,1298.0145995657126,Dor-Nap-dir,228.7
Dortmund-Dublin,952.8695853814469,Dor-Dub-dir,327.6
Dortmund-Athens,1972.5445505198093,Dor-Ath-dir,250.3
Dortmund-Barcelona,1197.504556779261,Dor-Bar-dir,339.8
Dortmund-Gothenburg,746.9304900000842,Dor-Got-dir,247.6
Dortmund-Nuremburg,344.38093600541157,Dor-Nur-dir,234.3
Dortmund-Braunschweig,226.4217924060985,Dor-Bra-dir,227.2
Dortmund-Hanover,183.0443611008574,Dor-Han-dir,225.4
Dortmund-Antwerp,214.9812323688783,Dor-Ant-dir,222.0
Dortmund-Brescia,696.3136918470427,Dor-Bre-dir,211.7
Rome-Hamburg,1308.8636493769668,Rom-Ham-dir,328.0
Rome-Stuttgart,806.7398941418504,Rom-Stu-dir,321.0
Rome-Frankfurt,957.8299324890863,Rom-Fra-dir,317.5
Rome-Stockholm,1980.1731729298174,Rom-Sto-dir,313.1
Rome-Brussels,1173.2365012235457,Rom-Bru-dir,313.0
Rome-Vienna,764.2094696794074,Rom-Vie-dir,297.5
Rome-Lisbon,1866.7033208698376,Rom-Lis-dir,276.1
Rome-Marseille,603.3934618588149,Rom-Mar-dir,266.5
Rome-Cologne,1089.831318547415,Rom-Col-dir,263.2
Rome-Helsinki,2204.4886323251985,Rom-Hel-dir,254.8
Rome-Lyon,750.5662026886802,Rom-Lyo-dir,254.1
Rome-Düsseldorf,1123.890157967704,Rom-Düs-dir,251.6
Rome-Warsaw,1318.2845538649813,Rom-War-dir,250.2
Rome-Rotterdam,1268.4705456822307,Rom-Rot-dir,247.2
Rome-Prague,922.8173141416701,Rom-Pra-dir,246.9
Rome-Lille,1211.2711958593395,Rom-Lil-dir,246.8
Rome-Turin,525.1835979136633,Rom-Tur-dir,241.0
Rome-Utrecht,1263.3175880274796,Rom-Utr-dir,237.2
Rome-Budapest,812.6809307134923,Rom-Bud-dir,234.7
Rome-Toulouse,922.4964087472014,Rom-Tou-dir,224.3
Rome-Bordeaux,1108.1045687761618,Rom-Bor-dir,224.3
Rome-Bucharest,1141.1271535612389,Rom-Buc-dir,224.3
Rome-Malmö,1522.404713126948,Rom-Mal-dir,219.3
Rome-Nantes,1261.7181759303112,Rom-Nan-dir,216.4
Rome-The Hague,1290.9550330543177,Rom-The-dir,215.2
Rome-Bremen,1273.3575511172478,Rom-Bre-dir,214.4
Rome-Bonn,1064.578376895683,Rom-Bon-dir,208.9
Rome-Dresden,1021.9604957220464,Rom-Dre-dir,208.3
Rome-Bologna,303.6377867291772,Rom-Bol-dir,207.4
Rome-London,1434.7768161166782,Rom-Lon-dir,967.0
Rome-Valencia,1118.6790143857463,Rom-Val-dir,224.4
Rome-Naples,191.6933213040504,Rom-Nap-dir,225.6
Rome-Dublin,1888.6002194397674,Rom-Dub-dir,324.5
Rome-Athens,1053.760630631831,Rom-Ath-dir,247.2
Rome-Barcelona,861.6992184288006,Rom-Bar-dir,336.7
Rome-Gothenburg,1758.92718127328,Rom-Got-dir,244.5
Rome-Nuremburg,847.798439696044,Rom-Nur-dir,231.2
Rome-Braunschweig,1162.2158028384742,Rom-Bra-dir,224.1
Rome-Hanover,1182.9018650163657,Rom-Han-dir,222.3
Rome-Antwerp,1205.592634468455,Rom-Ant-dir,218.9
Rome-Brescia,444.17664241453684,Rom-Bre-dir,208.6
Hamburg-Stuttgart,533.8074285196008,Ham-Stu-dir,318.4
Hamburg-Frankfurt,394.74635938585163,Ham-Fra-dir,314.9
Hamburg-Stockholm,815.1943221377064,Ham-Sto-dir,310.5
Hamburg-Brussels,491.2099840884218,Ham-Bru-dir,310.4
Hamburg-Vienna,744.3697873744826,Ham-Vie-dir,294.9
